day_of_week,complaint_description,total_requests
5,ZZ CRM - Configuration Test Francois,1
5,ZZZ ARR Street Sweeping,1
5,ZZ CRM - Configuration Test Waheed,1
5,Zz_ATD - Construction Items in Right of Way,1
5,ATD - Traffic Engineering - General,1
5,Park Maintenance - Building A/C &amp; Heating Issues,1
6,Austin Code - Request Code Officer,32414
6,Traffic Signal - Maintenance,14965
6,Loose Dog,12282
6,ARR Missed Recycling,11363
6,Animal Control - Assistance Request,8573
6,ARR Missed Yard Trimmings/Compost,7581
6,Injured / Sick Animal,7094
6,ARR Dead Animal Collection,7066
6,Street Light Issue- Address,6594
6,ARR - Garbage,6463
6,ARR - Storm Debris Collection,6138
6,Park Maintenance - Grounds,5374
6,ATD - Parking Violation Enforcement,5161
6,ARR - Compost,4973
6,Pothole Repair,4508
6,ARR Brush and Bulk,4282
6,ATD - Shared Micromobility,4037
6,Tree Issue ROW,3612
6,APD - Non Emergency Noise/Alarm,3507
6,Loud Commercial Music,3500
6,Debris in Street,3462
6,ARR - Recycling,3449
6,APD - Non Emergency Collision,3064
6,ARR Missed Yard Trimmings /Organics,2952
6,Code Compliance,2832
6,APD - Vehicle Abatement Report,2747
6,Austin Code - Short Term Rental Complaint SR,2626
6,Animal - Proper Care,2440
6,Water Waste Report,2352
6,ACD - Request Code Officer,2268
6,Lane/Road Closure Notification,2234
6,Parking Machine Issue,2231
6,Sign - Traffic Sign Maintenance,2192
6,Parking Violation Enforcement,2146
6,Public Health - Graffiti Abatement,2118
6,Traffic Signal - Dig Tess Request,2076
6,Obstruction in ROW,2048
6,Wildlife Exposure,1908
6,Animal Bite,1864
6,Sign - New,1853
6,Found Animal - Pick Up,1828
6,Sidewalk Repair,1822
6,Shared Micromobility,1794
6,311 CC - Other,1714
6,Found Animal Report - Keep,1617
6,AE Street Light Issue - Address,1593
6,DSD - Follow-Up,1477
6,ARR - Dead Animal Collection,1429
6,Graffiti Abatement,1417
6,AW - Water Conservation Violation,1403
6,Pavement Failure,1354
6,Concerns in the ROW,1238
6,Sign - Traffic Sign Emergency,1236
6,Loud Music,1228
6,Animal Protection - Loose Dog,1121
6,Traffic Signal - New/Change,1046
6,Dockless Mobility,1038
6,Channels/Creeks/Drainage Easement,1016
6,ARR - General,1016
6,Public Health - Environmental Services - City,955
6,ATD - Traffic Sign Maintenance,942
6,Austin Code - Coronavirus,909
6,Animal Services - Contact Request,902
6,ATD - Concerns in Right of Way,883
6,ARR - Bulk,879
6,Loose Animal Not Dog,832
6,Austin Code - Signs/Billboards,824
6,Pet Resource Center - Assistance Request,808
6,Dangerous/Vicious Dog Investigation,805
6,ARR Street Sweeping,794
6,Tree Issue ROW/Emergency (PW),794
6,Traffic Engineering - General,775
6,ATD - Lane/Road Closure Notification,772
6,ATD - Parking Sign Maintenance,728
6,APH - Graffiti Abatement - Public Property,719
6,AW - Water Waste Report,699
6,Road Markings/Striping - Maintenance,698
6,DSD - Outdoor Commercial Venue Music Complaint,685
6,View Obstruction at Intersection,684
6,Tree Issue ROW/Maintenance (PW),680
6,Animal Protection - Injured/Sick Animal,679
6,Flooding  Current (Non-Emergency),644
6,WPD - Channels/Creek/Drainage Issues,644
6,DSD - Request Code Officer,641
6,Creek & Pond Vegetation Control,630
6,Community Connections - Coronavirus,629
6,Coyote Complaints,629
6,Bicycle Issues,622
6,Park Maintenance - Grounds Plumbing Issues,594
6,Alley & Unpaved Street Maintenance,587
6,DSD - Environmental Complaint,585
6,ARR - Brush,561
6,Aquatics Hotline Inquiry,559
6,Animal Protection - Found Animal Assistance,546
6,School Zone Flasher - Timing/Maintenance,545
6,Construction Items in ROW,523
6,Sign - Street Name,514
6,Sign - Parking Sign Maintenance,504
6,Mowing Medians,483
6,ATD - Construction Items in Right of Way,468
6,Animal Protection - Assistance Request,462
6,Animal In Vehicle,461
6,Park Maintenance - Pool Issues,458
6,Lost Item in Storm Drainage System,452
6,SBO - Pothole Repair,423
6,Traffic Calming,398
6,Road Markings/Striping - New,387
6,PWD - Tree Issue Right of Way,383
6,Construction items in ROW,374
6,Street Lights New,358
6,Street Light Issue- Multiple poles/multiple streets,347
6,Tree Issue ROW/Emergency (PARD),339
6,ATD - Traffic Signal - Maintenance,338
6,Park Maintenance - Grounds Electrical Issues,334
6,Sidewalk/Curb Ramp/Route - NEW,308
6,ATD - Traffic Sign New,295
6,ATD - Speed Management,293
6,Tree Issue ROW/Maintenance (PARD),285
6,APH - Environmental Health Services - City,283
6,ARR - Street Sweeping,282
6,ARR - On Call Bulk,281
6,Animal Protection - Animal Proper Care,279
6,Mowing City Parks,277
6,Standing Water,270
6,Curb/Gutter Repair,267
6,SBO - Debris in Street,266
6,Flooding - Past,258
6,ATD - Road Markings/Striping - Maintenance,240
6,SBO - Obstruction in Right of Way,228
6,Animal Protection - Animal Bite,223
6,APD - Vehicle Abatement Callback Request,221
6,Street Resurfacing,215
6,ATD - Dig Tess Request,214
6,Park Maintenance - Building Plumbing Issues,206
6,ACD - Short Term Rental Complaint,205
6,ARR - Spillage Trash/Fluids,200
6,Speed Management,191
6,Animal Trapped in Storm Drain,178
6,Bat Complaint,176
6,ATD - Street Name Sign Maintenance,176
6,Pet Resource Center - Found Pet Report,170
6,ATD - Parking Machine Issue,168
6,Zz_Loud Commercial Music,166
6,ATD - Traffic Signal Maintenance,165
6,ARR - Special Services,165
6,ATD - Traffic Sign Emergency,156
6,Austin Code - Short Term Rental (STR) Appointment,155
6,TARA - Telecommunication Complaint,154
6,Construction Items- ROW,149
6,ATD - Booting Complaint,148
6,SBO - Sidewalk Repair,146
6,Animal Protection - Wildlife Exposure,134
6,Code Compliance - Signs/Billboards,128
6,School Zone - New/Review/Changes,122
6,AE Street Light Issue - No Address,120
6,Park Maintenance - Building Issues,111
6,Sign - School Zone Sign Maintenance,106
6,ATD - Traffic Signal - New/Modification,104
6,Ditch/Driveway Pipe Services,102
6,WPD - Drainage Pond Maintenance,101
6,Speed Limit - Changes/Signs,99
6,WPD - Standing Water,94
6,Street Resurfacing Inquiry,93
6,ARR - Property Damage Report,90
6,ATD - School Zone Beacon - Maintenance,88
6,Zz_ARR - Storm Debris Collection,87
6,SBO - New Sidewalk/Curb Ramp/Route,87
6,ATD - Road Markings/Striping - New,87
6,Water Theft Report,86
6,SBO - Pavement Failure,85
6,Neighborhood Home Programs,84
6,Roadway Spillage,84
6,Parking Ticket Complaint,82
6,WPD - Flooding Current,80
6,Guardrail New/Repair,79
6,WPD - Lost Item in Storm Drainage System,78
6,School Issues - Crossing Guards,78
6,WPD - Storm Drain Services,77
6,Construction/Permitting- ROW,76
6,SBO - Street and Bridge Miscellaneous,75
6,311 CRIS - City Vehicle Report,74
6,ATD - Bicycle &amp; Pedestrian Issues,72
6,Animal Protection - Loose Animal Not Dog,71
6,Flooding Current (Non-Emergency),69
6,ATD - Special Event,67
6,Park Maintenance - Building A/C & Heating Issues,67
6,Animal Protection - Vicious Dog Complaint,64
6,ACD - Case Updates/Code Connect Messages,64
6,Animal Protection - Coyote Complaints,63
6,SBO - Alley & Unpaved Street Maintenance,60
6,Park Maintenance - Building Electrical Issues,59
6,ATD - View Obstruction and Fencing at Intersection,58
6,Storm Drain Pipe Services,57
6,Guardrail Repair,56
6,Drainage - Miscellaneous,56
6,Loose Animal (not dog),55
6,Flooding - Storms After Business Hours,54
6,AFD - Wildfire Concern / Presentation,52
6,Barricade Request,52
6,Austin Code - Construction Rest Break Complaint,51
6,Short Term Rental Complaint SR,49
6,AW - Water Theft Report,49
6,Public Health - Environmental Services - County,46
6,Bridge Repair,46
6,Animal Protection - Dangerous Dog Complaint,45
6,DSD - Short Term Rental Complaint,45
6,ZZ - Tree Issue ROW,44
6,Code Compliance - Short Term Rental (STR) Appointment,44
6,WPD - Flooding Past,42
6,AFD - Fireworks Complaint,40
6,Austin Code - Construction Ordinance SR,40
6,ATD - School Zone Sign Maintenance,38
6,APH - Community Connections Coronavirus,36
6,PWD - Mowing Medians,36
6,SBO - Street Resurfacing,36
6,PARD - Aquatic Maintenance,35
6,Flood Report,35
6,ARR - Household Hazardous Waste,34
6,SBO - Utility Cut Repair,32
6,Park Maintenance - Cemeteries,32
6,WPD - Ditch/Driveway Pipe Services,31
6,WPD - Watershed Grow Zone Issues,30
6,Residential Parking Permit Enforcement,30
6,Animal Protection - Animal In Vehicle,30
6,Road Sanding Request,29
6,ATD - Construction Concerns in Right of Way,29
6,AE - Electric Vehicle Station Issues,28
6,ARR - Pet Search,27
6,ATD - Pay-by-Phone App,25
6,ZZZ ARR Brush and Bulk,25
6,Animal Protection - Dog Restraint Issues,25
6,ATD - Traffic Signal - New,24
6,ARR - On Call Brush,24
6,SBO - Curb/Gutter Repair,23
6,Animal Roadside Sales,22
6,Ordinance Universal Recycling,21
6,Basic Needs - Appointment,20
6,Zz_Traffic Engineering - General,19
6,Corridor Program Office - Corridor Feedback,19
6,HPD - Neighborhood Home Programs,19
6,Vendor Permit - ROW,19
6,ZZ Park Maintenance - Pool Issues,19
6,ATD - Traffic Signal - Modification,18
6,Animal Protection - Animal Trapped in Storm Drain,18
6,SBO - Guardrail New/Repair,17
6,WPD - Erosion,16
6,PW - School Issues - Crossing Guards,16
6,PW - School Zone - New/Review/Changes,15
6,PARD - Commercial Use of Parkland,15
6,ACD - Billboard Complaint,14
6,WPD - Lady Bird Lake Debris Issues,13
6,ZZZ ARR Missed Recycling,13
6,Dangerous Animal - Except Dogs,13
6,Parking Permit- ROW,13
6,Emergency Road Closure Report,13
6,EV PIE Station Issues,13
6,Town Lake Debris Issues,12
6,APD - Non Emergency Hands Free Violation,11
6,Obstruction - Urban Forestry,11
6,APH - Environmental Health Services - County,11
6,Ordinance Single-Use Carryout Bags,11
6,ZZ Creek &amp; Pond Vegetation Control,11
6,AFD - Wildfire Education,10
6,Valet Permit - ROW,9
6,PARD - Aquatic Inquiries/Issues,8
6,ERM - Harmful Algae,8
6,ZZ ARR - Storm Debris Collection,7
6,CPIO - Community Voices,6
6,PARD - Aquatic Program Inquiries,6
6,ZZ Mowing City Parks,6
6,Fence/Wall Repair,6
6,ATD - Bicycle & Pedestrian Issues,6
6,SBO - Roadway Spillage,6
6,Construction Ordinance SR,6
6,CPIO - Community Engagement Project Feedback,6
6,Traffic Engineering - Jurisdiction Issue,6
6,Filming Permit - ROW,5
6,Newspaper Rack- ROW,5
6,AE - Key Accounts,5
6,LeadSmart Program,5
6,SBO - Bridge Repair,5
6,Flooding - Storms During Business Hours,5
6,HSEM - Heat Advisory,5
6,EV PIP Residential Rebate,4
6,ACD - Construction Rest Break Complaint,4
6,ZZ Creek & Pond Vegetation Control,4
6,APH - Health Equity Line,4
6,ZZZ ARR Missed Yard Trimmings/Compost,3
6,Park Maintenance - Building A/C &amp; Heating Issues,3
6,Animal Protection - Animal Roadside Sales,3
6,Zz_ATD - Concerns in Right of Way,2
6,Corridor Program - Corridor Feedback,2
6,DSD - Case Updates/Code Connect Messages,2
6,Guardrail - New,2
6,Utility Coordination - ROW,2
6,ZZ Mowing Medians,2
6,ARR Dumpster,2
6,Zz_ATD - Construction Items in Right of Way,2
6,DSD - Billboard Complaint,2
6,ZZAFD - Fireworks Complaint,2
6,Zzz_Speed Limit - Changes/Signs,1
6,ZZZ - Storm Drain Pipe Services,1
6,Fence Repair - MOPAC,1
6,PW - Street & Bridge General,1
6,zz - Coyote Compliants,1
6,DSD - Private Hauler License Violation,1
6,HD - Neighborhood Home Programs,1
6,zCoyote Complaints,1
6,Emergency Vehicle Preemption Device,1
6,ACD - Private Hauler License Violation,1
7,Austin Code - Request Code Officer,15310
7,Traffic Signal - Maintenance,12893
7,Loose Dog,9495
7,Injured / Sick Animal,6433
7,APD - Non Emergency Noise/Alarm,6008
7,Animal Control - Assistance Request,5805
7,ARR Dead Animal Collection,5649
7,Loud Commercial Music,5166
7,ARR - Storm Debris Collection,5007
7,Park Maintenance - Grounds,4806
7,ATD - Parking Violation Enforcement,4799
7,ARR Missed Recycling,3987
7,Street Light Issue- Address,3370
7,Pothole Repair,3010
7,ARR Missed Yard Trimmings/Compost,2752
7,Parking Machine Issue,2584
7,APD - Non Emergency Collision,2518
7,Loud Music,2290
7,Parking Violation Enforcement,2148
7,Tree Issue ROW,2084
7,Debris in Street,2030
7,Animal - Proper Care,2008
7,ARR - Garbage,1976
7,Public Health - Graffiti Abatement,1945
7,Water Waste Report,1864
7,ARR - Compost,1854
7,Animal Bite,1808
7,APD - Vehicle Abatement Report,1804
7,ATD - Shared Micromobility,1670
7,Found Animal - Pick Up,1653
7,Found Animal Report - Keep,1641
7,Austin Code - Short Term Rental Complaint SR,1612
7,311 CC - Other,1573
7,Shared Micromobility,1543
7,Sign - Traffic Sign Maintenance,1502
7,Wildlife Exposure,1384
7,ARR - Dead Animal Collection,1253
7,Code Compliance,1196
7,ARR - Recycling,1169
7,Austin Code - Coronavirus,1160
7,ARR Brush and Bulk,1144
7,ACD - Request Code Officer,1117
7,Sign - Traffic Sign Emergency,1027
7,Sidewalk Repair,984
7,DSD - Outdoor Commercial Venue Music Complaint,979
7,AW - Water Conservation Violation,971
7,Animal Protection - Loose Dog,929
7,Dockless Mobility,902
7,Obstruction in ROW,902
7,Traffic Signal - Dig Tess Request,901
7,Tree Issue ROW/Emergency (PW),876
7,Sign - New,872
7,AE Street Light Issue - Address,834
7,Graffiti Abatement,808
7,ARR Missed Yard Trimmings /Organics,807
7,Park Maintenance - Grounds Plumbing Issues,772
7,APH - Graffiti Abatement - Public Property,758
7,Loose Animal Not Dog,757
7,Park Maintenance - Pool Issues,667
7,Animal Protection - Injured/Sick Animal,661
7,Dangerous/Vicious Dog Investigation,623
7,ATD - Concerns in Right of Way,598
7,Animal Services - Contact Request,586
7,Pet Resource Center - Assistance Request,585
7,Animal In Vehicle,584
7,Channels/Creeks/Drainage Easement,524
7,ATD - Traffic Sign Maintenance,518
7,Concerns in the ROW,514
7,Lost Item in Storm Drainage System,488
7,Austin Code - Signs/Billboards,486
7,Public Health - Environmental Services - City,485
7,AW - Water Waste Report,482
7,Pavement Failure,480
7,Animal Protection - Found Animal Assistance,468
7,Coyote Complaints,462
7,Flooding  Current (Non-Emergency),451
7,ARR Street Sweeping,381
7,Park Maintenance - Building Plumbing Issues,368
7,ZZ - AFD - Fireworks Complaint,363
7,ARR - General,337
7,Construction Items in ROW,334
7,Bicycle Issues,326
7,Park Maintenance - Grounds Electrical Issues,311
7,Traffic Signal - New/Change,308
7,ATD - Traffic Signal - Maintenance,305
7,Sign - Parking Sign Maintenance,303
7,DSD - Request Code Officer,303
7,Animal Protection - Assistance Request,303
7,DSD - Environmental Complaint,290
7,SBO - Pothole Repair,288
7,Tree Issue ROW/Maintenance (PW),279
7,Road Markings/Striping - Maintenance,275
7,View Obstruction at Intersection,274
7,WPD - Channels/Creek/Drainage Issues,264
7,ATD - Parking Sign Maintenance,258
7,ACD - Short Term Rental Complaint,254
7,Creek & Pond Vegetation Control,253
7,ATD - Construction Items in Right of Way,253
7,Park Maintenance - Building A/C & Heating Issues,252
7,Zz_Loud Commercial Music,241
7,ATD - Speed Management,239
7,Alley & Unpaved Street Maintenance,239
7,Sign - Street Name,235
7,ATD - Parking Machine Issue,229
7,Park Maintenance - Building Issues,225
7,ARR - Bulk,220
7,Animal Protection - Animal Bite,220
7,Community Connections - Coronavirus,217
7,Construction items in ROW,209
7,Animal Protection - Animal Proper Care,206
7,Traffic Engineering - General,204
7,PWD - Tree Issue Right of Way,195
7,AFD - Fireworks Complaint,194
7,Mowing Medians,194
7,Pet Resource Center - Found Pet Report,179
7,ARR - Brush,169
7,Animal Trapped in Storm Drain,165
7,Traffic Calming,165
7,ARR - Street Sweeping,163
7,Sidewalk/Curb Ramp/Route - NEW,159
7,ATD - Traffic Sign New,159
7,Street Light Issue- Multiple poles/multiple streets,156
7,ATD - Traffic Signal Maintenance,155
7,Lane/Road Closure Notification,153
7,ATD - Booting Complaint,150
7,ATD - Lane/Road Closure Notification,150
7,SBO - Debris in Street,148
7,School Zone Flasher - Timing/Maintenance,147
7,APH - Environmental Health Services - City,144
7,ARR - On Call Bulk,128
7,ATD - Traffic Sign Emergency,122
7,Tree Issue ROW/Maintenance (PARD),121
7,Road Markings/Striping - New,120
7,Flooding - Past,119
7,ATD - Street Name Sign Maintenance,113
7,Mowing City Parks,111
7,Street Lights New,111
7,Animal Protection - Wildlife Exposure,107
7,Bat Complaint,106
7,Street Resurfacing,104
7,ATD - Special Event,103
7,Standing Water,102
7,APD - Vehicle Abatement Callback Request,101
7,ATD - Road Markings/Striping - Maintenance,97
7,Aquatics Hotline Inquiry,95
7,WPD - Flooding Current,92
7,SBO - Obstruction in Right of Way,92
7,Flooding Current (Non-Emergency),91
7,Construction Items- ROW,88
7,Tree Issue ROW/Emergency (PARD),88
7,Speed Management,88
7,Curb/Gutter Repair,84
7,Guardrail New/Repair,84
7,WPD - Lost Item in Storm Drainage System,80
7,ARR - Special Services,80
7,SBO - Sidewalk Repair,79
7,Short Term Rental Complaint SR,77
7,DSD - Follow-Up,74
7,Animal Protection - Loose Animal Not Dog,73
7,Animal Protection - Coyote Complaints,68
7,ATD - Dig Tess Request,66
7,Park Maintenance - Building Electrical Issues,64
7,Zz_ARR - Storm Debris Collection,63
7,Code Compliance - Signs/Billboards,60
7,ATD - Road Markings/Striping - New,60
7,Animal Protection - Vicious Dog Complaint,59
7,ARR - Spillage Trash/Fluids,58
7,Animal Roadside Sales,57
7,PARD - Aquatic Maintenance,54
7,Animal Protection - Animal In Vehicle,52
7,SBO - New Sidewalk/Curb Ramp/Route,50
7,TARA - Telecommunication Complaint,50
7,Speed Limit - Changes/Signs,50
7,Water Theft Report,50
7,ATD - Pay-by-Phone App,45
7,WPD - Standing Water,45
7,WPD - Drainage Pond Maintenance,44
7,Loose Animal (not dog),43
7,WPD - Storm Drain Services,42
7,Storm Drain Pipe Services,42
7,Ditch/Driveway Pipe Services,39
7,Parking Ticket Complaint,39
7,311 CRIS - City Vehicle Report,39
7,ATD - Traffic Signal - New/Modification,37
7,AE Street Light Issue - No Address,36
7,SBO - Pavement Failure,34
7,ARR - Property Damage Report,33
7,Residential Parking Permit Enforcement,33
7,Guardrail Repair,33
7,ACD - Case Updates/Code Connect Messages,32
7,Sign - School Zone Sign Maintenance,31
7,ATD - Bicycle &amp; Pedestrian Issues,31
7,Austin Code - Construction Rest Break Complaint,30
7,AFD - Wildfire Concern / Presentation,30
7,Neighborhood Home Programs,29
7,ATD - School Zone Beacon - Maintenance,28
7,Animal Protection - Dangerous Dog Complaint,28
7,Park Maintenance - Cemeteries,28
7,Street Resurfacing Inquiry,27
7,Bridge Repair,26
7,AW - Water Theft Report,26
7,SBO - Street and Bridge Miscellaneous,26
7,WPD - Ditch/Driveway Pipe Services,24
7,Animal Protection - Dog Restraint Issues,24
7,AE - Electric Vehicle Station Issues,24
7,Roadway Spillage,23
7,DSD - Short Term Rental Complaint,22
7,ARR - Pet Search,22
7,ATD - View Obstruction and Fencing at Intersection,22
7,Drainage - Miscellaneous,21
7,Austin Code - Short Term Rental (STR) Appointment,21
7,PARD - Aquatic Inquiries/Issues,20
7,ZZ Park Maintenance - Pool Issues,20
7,Public Health - Environmental Services - County,20
7,Corridor Program Office - Corridor Feedback,20
7,WPD - Lady Bird Lake Debris Issues,19
7,SBO - Utility Cut Repair,19
7,SBO - Street Resurfacing,19
7,Animal Protection - Animal Trapped in Storm Drain,18
7,ARR - Household Hazardous Waste,17
7,ATD - Traffic Signal - New,17
7,ARR - On Call Brush,15
7,SBO - Alley & Unpaved Street Maintenance,14
7,PWD - Mowing Medians,13
7,SBO - Guardrail New/Repair,13
7,WPD - Erosion,13
7,WPD - Flooding Past,13
7,Ordinance Universal Recycling,12
7,School Zone - New/Review/Changes,12
7,AE - Key Accounts,11
7,CPIO - Community Voices,11
7,PARD - Commercial Use of Parkland,11
7,ATD - Traffic Signal - Modification,11
7,APH - Community Connections Coronavirus,10
7,HPD - Neighborhood Home Programs,10
7,ATD - School Zone Sign Maintenance,9
7,SBO - Curb/Gutter Repair,9
7,Town Lake Debris Issues,8
7,Austin Code - Construction Ordinance SR,8
7,ZZ - Tree Issue ROW,8
7,ATD - Construction Concerns in Right of Way,8
7,DSD - Case Updates/Code Connect Messages,8
7,APH - Environmental Health Services - County,8
7,Barricade Request,8
7,ZZZ ARR Missed Recycling,8
7,Ordinance Single-Use Carryout Bags,8
7,Construction/Permitting- ROW,8
7,Animal Protection - Animal Roadside Sales,7
7,Fence/Wall Repair,7
7,Dangerous Animal - Except Dogs,6
7,Park Maintenance - Building A/C &amp; Heating Issues,6
7,ZZZ ARR Brush and Bulk,6
7,SBO - Roadway Spillage,6
7,ERM - Harmful Algae,6
7,ACD - Billboard Complaint,6
7,ZZZ ARR Missed Yard Trimmings/Compost,6
7,Parking Permit- ROW,5
7,ARR Dumpster,5
7,AFD - Wildfire Education,4
7,ZZ Creek &amp; Pond Vegetation Control,4
7,ACD - Construction Rest Break Complaint,4
7,Code Compliance - Short Term Rental (STR) Appointment,4
7,SBO - Bridge Repair,4
7,Emergency Road Closure Report,4
7,Vendor Permit - ROW,3
7,ZZ ARR - Storm Debris Collection,3
7,Newspaper Rack- ROW,3
7,PW - School Zone - New/Review/Changes,3
7,WPD - Watershed Grow Zone Issues,3
7,Flood Report,3
7,CPIO - Community Engagement Project Feedback,3
7,APH - Health Equity Line,2
7,PW - School Issues - Crossing Guards,2
7,Basic Needs - Appointment,2
7,Flooding - Storms After Business Hours,2
7,School Issues - Crossing Guards,2
7,HD - Neighborhood Home Programs,1
7,ATD - Traffic Engineering - General,1
7,EV PIP Residential Rebate,1
7,ZZ Creek & Pond Vegetation Control,1
7,PARD - Aquatic Program Inquiries,1
7,ACD - Private Hauler License Violation,1
7,Basic Needs - Information Referral,1
7,EV PIE Station Issues,1
7,LeadSmart Program,1
7,Corridor Program - Corridor Feedback,1
7,ATD - Bicycle & Pedestrian Issues,1
7,DSD - Billboard Complaint,1
7,Fence Repair - MOPAC,1
7,DSD - Private Hauler License Violation,1
7,HSEM - Heat Advisory,1
7,Zz_Traffic Engineering - General,1
