day_of_week,complaint_description,total_requests
2,AFD - Fireworks Complaint,99
2,Storm Drain Pipe Services,98
2,ARR - Property Damage Report,96
2,ATD - Booting Complaint,95
2,SBO - New Sidewalk/Curb Ramp/Route,93
2,Code Compliance - Short Term Rental (STR) Appointment,91
2,ACD - Case Updates/Code Connect Messages,88
2,SBO - Street and Bridge Miscellaneous,88
2,ATD - View Obstruction and Fencing at Intersection,79
2,ATD - Bicycle &amp; Pedestrian Issues,76
2,Animal Protection - Coyote Complaints,73
2,Zz_Loud Commercial Music,72
2,Animal Protection - Vicious Dog Complaint,68
2,School Issues - Crossing Guards,65
2,Water Theft Report,64
2,Bridge Repair,63
2,Drainage - Miscellaneous,63
2,Roadway Spillage,62
2,WPD - Lost Item in Storm Drainage System,60
2,Guardrail Repair,60
2,ATD - School Zone Sign Maintenance,59
2,Parking Ticket Complaint,58
2,311 CRIS - City Vehicle Report,58
2,Public Health - Environmental Services - County,56
2,Animal Protection - Loose Animal Not Dog,56
2,Loose Animal (not dog),55
2,Barricade Request,50
2,SBO - Street Resurfacing,49
2,SBO - Alley & Unpaved Street Maintenance,48
2,Park Maintenance - Building Electrical Issues,47
2,Austin Code - Construction Rest Break Complaint,47
2,ARR - Household Hazardous Waste,47
2,ZZ - Tree Issue ROW,45
2,Park Maintenance - Building A/C & Heating Issues,45
2,Animal Protection - Dangerous Dog Complaint,43
2,Short Term Rental Complaint SR,42
2,AFD - Wildfire Concern / Presentation,42
2,WPD - Flooding Past,41
2,Corridor Program Office - Corridor Feedback,41
2,ARR - On Call Brush,41
2,APH - Community Connections Coronavirus,40
2,SBO - Utility Cut Repair,40
2,ATD - Construction Concerns in Right of Way,39
2,ATD - Special Event,38
2,AW - Water Theft Report,38
2,PWD - Mowing Medians,37
2,WPD - Watershed Grow Zone Issues,36
2,ARR - Pet Search,35
2,ZZZ ARR Dead Animal Collection,34
2,Animal Protection - Animal In Vehicle,34
2,ATD - Pay-by-Phone App,34
2,Park Maintenance - Cemeteries,33
2,WPD - Ditch/Driveway Pipe Services,33
2,Vendor Permit - ROW,32
2,Basic Needs - Appointment,32
2,AE - Electric Vehicle Station Issues,31
2,PARD - Aquatic Maintenance,31
2,ZZZ ARR Missed Yard Trimmings/Compost,30
2,SBO - Curb/Gutter Repair,29
2,HPD - Neighborhood Home Programs,26
2,Animal Protection - Dog Restraint Issues,24
2,Parking Permit- ROW,24
2,ATD - Traffic Signal - Modification,23
2,WPD - Lady Bird Lake Debris Issues,23
2,WPD - Erosion,23
2,Ordinance Universal Recycling,22
2,ZZZ ARR Missed Recycling,21
2,Animal Roadside Sales,21
2,PW - School Issues - Crossing Guards,20
2,AE - Key Accounts,20
2,Town Lake Debris Issues,19
2,ATD - Traffic Signal - New,19
2,Flood Report,19
2,Zz_Traffic Engineering - General,18
2,DSD - Short Term Rental Complaint,18
2,PW - School Zone - New/Review/Changes,18
2,Residential Parking Permit Enforcement,17
2,EV PIE Station Issues,17
2,SBO - Guardrail New/Repair,16
2,ARR Dumpster,14
2,APH - Environmental Health Services - County,14
2,CPIO - Community Voices,13
2,Filming Permit - ROW,12
2,ZZZ ARR Brush and Bulk,12
2,SBO - Bridge Repair,12
2,Dangerous Animal - Except Dogs,11
2,PARD - Aquatic Inquiries/Issues,11
2,AFD - Wildfire Education,11
2,Ordinance Single-Use Carryout Bags,10
2,Austin Code - Construction Ordinance SR,10
2,Fence/Wall Repair,10
2,ZZ Creek &amp; Pond Vegetation Control,10
2,ACD - Billboard Complaint,10
2,ATD - Bicycle & Pedestrian Issues,9
2,APH - Health Equity Line,8
2,Emergency Road Closure Report,8
2,SBO - Roadway Spillage,8
2,Obstruction - Urban Forestry,7
2,Construction Ordinance SR,7
2,Animal Protection - Animal Trapped in Storm Drain,7
2,DSD - Case Updates/Code Connect Messages,7
2,Valet Permit - ROW,7
2,ZZ Park Maintenance - Pool Issues,6
2,EV PIP Residential Rebate,6
2,Flooding - Storms After Business Hours,6
2,PARD - Commercial Use of Parkland,6
2,zz - Coyote Compliants,5
2,ZZ Mowing City Parks,5
2,ZZZ - DO NOT USE - ERM - Harmful Algae,5
2,APD - Non Emergency Hands Free Violation,4
2,ZZ Creek & Pond Vegetation Control,4
2,Fence Repair - MOPAC,4
2,Newspaper Rack- ROW,4
2,HSEM - Heat Advisory,4
2,CPIO - Community Engagement Project Feedback,3
2,ACD - Construction Rest Break Complaint,3
2,Basic Needs - Information Referral,3
2,Guardrail - New,3
2,Zzz_Speed Limit - Changes/Signs,3
2,PARD - Aquatic Program Inquiries,3
2,Road Sanding Request,2
2,Flooding - Storms During Business Hours,2
2,DSD - Billboard Complaint,2
2,ERM - Harmful Algae,2
2,Utility Coordination - ROW,2
2,ZZ CRM - Configuration Test Waheed,2
2,ZZZ ARR Street Sweeping,2
2,ZZ Mowing Medians,2
2,Animal Protection - Animal Roadside Sales,1
2,LeadSmart Program,1
2,ZZ Corridor Program - Corridor Feedback,1
2,Traffic Engineering - Jurisdiction Issue,1
2,Heat Advisory,1
2,Zz_ATD - Concerns in Right of Way,1
2,Park Maintenance - Building A/C &amp; Heating Issues,1
2,Corridor Program - Corridor Feedback,1
2,ZZ - AFD - Fireworks Complaint,1
3,Austin Code - Request Code Officer,39467
3,Traffic Signal - Maintenance,15718
3,Loose Dog,12596
3,ARR Missed Recycling,10391
3,Animal Control - Assistance Request,9118
3,Street Light Issue- Address,8461
3,ARR - Storm Debris Collection,7787
3,ARR Dead Animal Collection,7738
3,Injured / Sick Animal,7296
3,ARR - Garbage,6918
3,ARR Missed Yard Trimmings/Compost,6363
3,Park Maintenance - Grounds,6334
3,Pothole Repair,5137
3,ARR - Compost,4856
3,ATD - Parking Violation Enforcement,4646
3,ATD - Shared Micromobility,3814
3,ARR - Recycling,3598
3,Debris in Street,3466
3,APD - Vehicle Abatement Report,3355
3,Tree Issue ROW,3323
3,Code Compliance,3121
3,Traffic Signal - Dig Tess Request,2856
3,APD - Non Emergency Collision,2805
3,Public Health - Graffiti Abatement,2728
3,Graffiti Abatement,2707
3,ACD - Request Code Officer,2603
3,Water Waste Report,2553
3,Sign - Traffic Sign Maintenance,2512
3,ARR Missed Yard Trimmings /Organics,2483
3,Animal - Proper Care,2457
3,Obstruction in ROW,2275
3,ARR Brush and Bulk,2222
3,Sidewalk Repair,2190
3,APD - Non Emergency Noise/Alarm,2167
3,Lane/Road Closure Notification,2162
3,Sign - New,2156
3,Wildlife Exposure,2059
3,Parking Violation Enforcement,1979
3,Animal Bite,1842
3,AE Street Light Issue - Address,1836
3,Found Animal - Pick Up,1784
3,Found Animal Report - Keep,1746
3,DSD - Follow-Up,1733
3,Austin Code - Short Term Rental Complaint SR,1715
3,Parking Machine Issue,1709
3,ARR - Dead Animal Collection,1697
3,Shared Micromobility,1628
3,311 CC - Other,1605
3,Pavement Failure,1587
3,Loud Commercial Music,1498
3,Concerns in the ROW,1483
3,Sign - Traffic Sign Emergency,1309
3,AW - Water Conservation Violation,1306
3,Traffic Signal - New/Change,1262
3,Channels/Creeks/Drainage Easement,1234
3,Public Health - Environmental Services - City,1155
3,Animal Protection - Loose Dog,1146
3,ATD - Traffic Sign Maintenance,1099
3,ATD - Concerns in Right of Way,1065
3,Austin Code - Signs/Billboards,1007
3,Animal Services - Contact Request,997
3,ATD - Lane/Road Closure Notification,984
3,Pet Resource Center - Assistance Request,902
