month,complaint_description,total_requests
6,Austin Code - Construction Rest Break Complaint,37
6,Animal Protection - Coyote Complaints,36
6,Roadway Spillage,36
6,APH - Community Connections Coronavirus,35
6,Guardrail Repair,34
6,Basic Needs - Appointment,34
6,Parking Ticket Complaint,33
6,ATD - Bicycle &amp; Pedestrian Issues,32
6,ATD - Road Markings/Striping - New,31
6,ZZ Creek &amp; Pond Vegetation Control,29
6,Barricade Request,28
6,Bridge Repair,28
6,Animal Protection - Animal In Vehicle,27
6,School Zone - New/Review/Changes,27
6,Park Maintenance - Building Electrical Issues,27
6,SBO - Alley & Unpaved Street Maintenance,26
6,ATD - Pay-by-Phone App,25
6,SBO - Street Resurfacing,25
6,AFD - Wildfire Concern / Presentation,25
6,Austin Code - Construction Ordinance SR,25
6,Animal Roadside Sales,24
6,Community Connections - Coronavirus,23
6,WPD - Lost Item in Storm Drainage System,23
6,AW - Water Theft Report,23
6,Austin Code - Coronavirus,23
6,Animal Protection - Dog Restraint Issues,23
6,Park Maintenance - Cemeteries,23
6,ZZ Park Maintenance - Pool Issues,22
6,ZZ - Tree Issue ROW,21
6,AE - Electric Vehicle Station Issues,21
6,WPD - Flooding Current,21
6,ARR - Pet Search,20
6,Corridor Program Office - Corridor Feedback,20
6,HPD - Neighborhood Home Programs,19
6,WPD - Watershed Grow Zone Issues,19
6,ZZ ARR - Storm Debris Collection,19
6,WPD - Ditch/Driveway Pipe Services,17
6,ARR - On Call Brush,17
6,ATD - Special Event,17
6,ATD - School Zone Sign Maintenance,17
6,Code Compliance - Short Term Rental (STR) Appointment,16
6,WPD - Lady Bird Lake Debris Issues,15
6,SBO - Guardrail New/Repair,15
6,Town Lake Debris Issues,15
6,Construction Ordinance SR,13
6,APH - Environmental Health Services - County,13
6,Obstruction - Urban Forestry,12
6,Animal Protection - Animal Trapped in Storm Drain,12
6,EV PIE Station Issues,12
6,SBO - Curb/Gutter Repair,12
6,PARD - Aquatic Program Inquiries,11
6,Emergency Road Closure Report,10
6,Dangerous Animal - Except Dogs,10
6,Flood Report,10
6,WPD - Erosion,10
6,Parking Permit- ROW,10
6,Vendor Permit - ROW,9
6,SBO - Roadway Spillage,9
6,AFD - Wildfire Education,9
6,ATD - School Zone Beacon - Maintenance,8
6,AE - Key Accounts,8
6,ERM - Harmful Algae,8
6,Newspaper Rack- ROW,7
6,WPD - Flooding Past,7
6,Fence/Wall Repair,7
6,CPIO - Community Voices,6
6,ZZ Mowing City Parks,6
6,ACD - Billboard Complaint,6
6,PARD - Commercial Use of Parkland,5
6,ARR Dumpster,5
6,APD - Non Emergency Hands Free Violation,5
6,Ordinance Single-Use Carryout Bags,5
6,Residential Parking Permit Enforcement,4
6,CPIO - Community Engagement Project Feedback,4
6,Animal Protection - Vicious Dog Complaint,4
6,ATD - Traffic Signal Maintenance,4
6,Ordinance Universal Recycling,3
6,SBO - Utility Cut Repair,3
6,EV PIP Residential Rebate,3
6,PW - Street & Bridge General,3
6,SBO - Bridge Repair,3
6,Fence Repair - MOPAC,2
6,Flooding - Storms After Business Hours,2
6,ARR - Household Hazardous Waste,2
6,ZZ Community Connections - Coronavirus,2
6,ZZ Mowing Medians,2
6,ZZAFD - Fireworks Complaint,2
6,HSEM - Heat Advisory,2
6,ZZ Creek & Pond Vegetation Control,2
6,Guardrail - New,2
6,Filming Permit - ROW,2
6,Valet Permit - ROW,1
6,ACD - Construction Rest Break Complaint,1
6,Traffic Engineering - Jurisdiction Issue,1
6,AFD - Fireworks Complaint,1
6,Flooding - Storms During Business Hours,1
6,Park Maintenance - Building A/C &amp; Heating Issues,1
6,DSD - Short Term Rental Complaint,1
6,DSD - Billboard Complaint,1
6,HSEM Heat Advisory,1
6,School Issues - Crossing Guards,1
6,APH - Health Equity Line,1
6,Short Term Rental Complaint SR,1
6,Utility Coordination - ROW,1
6,ACD - Private Hauler License Violation,1
7,Austin Code - Request Code Officer,20972
7,Traffic Signal - Maintenance,8137
7,Loose Dog,5445
7,ARR Missed Recycling,5220
7,Animal Control - Assistance Request,4844
7,Injured / Sick Animal,4656
7,ARR Dead Animal Collection,4447
7,Street Light Issue- Address,3520
7,Park Maintenance - Grounds,3357
7,ARR - Garbage,3221
7,ARR Missed Yard Trimmings/Compost,2949
7,ATD - Shared Micromobility,2868
7,ATD - Parking Violation Enforcement,2387
7,Code Compliance,2322
7,Water Waste Report,2291
7,Pothole Repair,2208
7,ACD - Request Code Officer,2198
7,Tree Issue ROW,2076
7,ARR - Compost,1895
7,Sign - Traffic Sign Maintenance,1840
7,Debris in Street,1819
7,ARR Brush and Bulk,1781
7,APD - Non Emergency Collision,1701
7,ARR Missed Yard Trimmings /Organics,1689
7,APD - Non Emergency Noise/Alarm,1655
7,APD - Vehicle Abatement Report,1633
7,ARR - Recycling,1596
7,Obstruction in ROW,1572
7,Animal - Proper Care,1464
7,Austin Code - Coronavirus,1385
7,AW - Water Conservation Violation,1304
7,Parking Violation Enforcement,1223
7,Parking Machine Issue,1214
7,Loud Commercial Music,1184
7,Wildlife Exposure,1178
7,Traffic Signal - Dig Tess Request,1173
7,Found Animal - Pick Up,1166
7,Public Health - Graffiti Abatement,1165
7,Lane/Road Closure Notification,1150
7,Graffiti Abatement,1136
7,Sidewalk Repair,1104
7,Animal Bite,1072
7,Found Animal Report - Keep,1057
7,Sign - New,989
7,Austin Code - Short Term Rental Complaint SR,987
7,AE Street Light Issue - Address,926
7,DSD - Follow-Up,866
7,Sign - Traffic Sign Emergency,837
7,Dockless Mobility,830
7,311 CC - Other,800
7,ARR - Dead Animal Collection,750
7,Pavement Failure,721
7,Aquatics Hotline Inquiry,720
7,View Obstruction at Intersection,700
7,ZZ AFD - Fireworks Complaint,697
7,Community Connections - Coronavirus,681
7,Concerns in the ROW,669
7,Creek & Pond Vegetation Control,644
7,Animal Protection - Injured/Sick Animal,635
7,ATD - Concerns in Right of Way,616
7,Park Maintenance - Pool Issues,599
7,Public Health - Environmental Services - City,596
7,ATD - Lane/Road Closure Notification,591
7,Animal Protection - Loose Dog,570
7,Tree Issue ROW/Maintenance (PW),540
7,Pet Resource Center - Assistance Request,503
7,Loose Animal Not Dog,500
7,APH - Graffiti Abatement - Public Property,491
7,Channels/Creeks/Drainage Easement,488
7,ARR - General,485
7,Park Maintenance - Grounds Plumbing Issues,483
7,AW - Water Waste Report,471
7,ARR - Bulk,458
7,Mowing Medians,446
7,Road Markings/Striping - Maintenance,443
7,Tree Issue ROW/Emergency (PW),432
7,Animal In Vehicle,423
7,ARR Street Sweeping,418
7,Dangerous/Vicious Dog Investigation,411
7,Animal Services - Contact Request,409
7,Traffic Signal - New/Change,407
7,Sign - Parking Sign Maintenance,406
7,Sign - Street Name,394
7,Loud Music,388
7,PWD - Tree Issue Right of Way,388
7,ATD - Traffic Sign Maintenance,373
7,Alley & Unpaved Street Maintenance,365
7,Shared Micromobility,359
7,ARR - Brush,354
7,Bicycle Issues,354
7,Traffic Engineering - General,347
7,Austin Code - Signs/Billboards,314
7,WPD - Channels/Creek/Drainage Issues,313
7,ATD - Parking Sign Maintenance,306
7,Construction Items in ROW,295
7,DSD - Environmental Complaint,267
7,Lost Item in Storm Drainage System,266
7,DSD - Outdoor Commercial Venue Music Complaint,263
7,Mowing City Parks,261
7,Animal Protection - Assistance Request,243
7,Coyote Complaints,232
7,Animal Protection - Animal Proper Care,232
7,AFD - Fireworks Complaint,232
7,Park Maintenance - Grounds Electrical Issues,224
7,SBO - Pothole Repair,224
7,Tree Issue ROW/Maintenance (PARD),222
7,ATD - Construction Items in Right of Way,219
7,Animal Protection - Found Animal Assistance,214
7,Road Markings/Striping - New,214
7,Sidewalk/Curb Ramp/Route - NEW,211
7,Construction items in ROW,206
7,SBO - Obstruction in Right of Way,204
7,SBO - Debris in Street,202
7,Traffic Calming,197
7,ARR - Street Sweeping,196
7,ARR - On Call Bulk,191
7,Street Light Issue- Multiple poles/multiple streets,188
7,APH - Environmental Health Services - City,186
7,Street Lights New,177
7,Park Maintenance - Building Plumbing Issues,176
7,DSD - Request Code Officer,174
7,Curb/Gutter Repair,158
7,Tree Issue ROW/Emergency (PARD),140
7,Street Resurfacing,138
7,Animal Protection - Animal Bite,133
7,Flooding  Current (Non-Emergency),129
7,SBO - Sidewalk Repair,129
7,Standing Water,120
7,ATD - Speed Management,117
7,ATD - Road Markings/Striping - Maintenance,116
7,ATD - Traffic Sign New,114
7,Short Term Rental Complaint SR,113
7,ATD - Street Name Sign Maintenance,109
7,Animal Trapped in Storm Drain,108
7,ACD - Short Term Rental Complaint,107
7,ATD - Parking Machine Issue,106
7,Pet Resource Center - Found Pet Report,103
7,APD - Vehicle Abatement Callback Request,97
7,Park Maintenance - Building Issues,95
7,Speed Management,95
7,Flooding - Past,89
7,ARR - Spillage Trash/Fluids,89
7,School Zone Flasher - Timing/Maintenance,88
7,Animal Protection - Loose Animal Not Dog,87
7,Animal Protection - Wildlife Exposure,85
7,Speed Limit - Changes/Signs,81
7,Park Maintenance - Building A/C & Heating Issues,81
7,ARR - Special Services,78
7,Construction Items- ROW,75
7,TARA - Telecommunication Complaint,72
7,ACD - Case Updates/Code Connect Messages,71
7,ATD - Traffic Sign Emergency,71
7,Bat Complaint,70
7,Austin Code - Short Term Rental (STR) Appointment,69
7,Code Compliance - Signs/Billboards,68
7,ZZ Park Maintenance - Pool Issues,68
7,ATD - Dig Tess Request,67
7,AE Street Light Issue - No Address,63
7,Ditch/Driveway Pipe Services,61
7,Flooding Current (Non-Emergency),61
7,PARD - Aquatic Maintenance,59
7,WPD - Drainage Pond Maintenance,58
7,Neighborhood Home Programs,56
7,Guardrail New/Repair,56
7,Street Resurfacing Inquiry,55
7,SBO - Pavement Failure,55
7,ATD - View Obstruction and Fencing at Intersection,54
7,Water Theft Report,52
7,Animal Protection - Vicious Dog Complaint,50
7,WPD - Flooding Current,49
7,ATD - Booting Complaint,49
7,Flooding - Storms After Business Hours,47
7,ATD - Road Markings/Striping - New,46
7,AFD - Wildfire Concern / Presentation,44
7,ATD - Traffic Signal - New/Modification,44
7,ARR - Property Damage Report,43
7,SBO - Street and Bridge Miscellaneous,42
7,Construction/Permitting- ROW,41
7,WPD - Storm Drain Services,41
7,SBO - New Sidewalk/Curb Ramp/Route,40
7,Loose Animal (not dog),40
7,APH - Community Connections Coronavirus,39
7,Roadway Spillage,39
7,Public Health - Environmental Services - County,38
7,Sign - School Zone Sign Maintenance,38
7,Storm Drain Pipe Services,36
7,PWD - Mowing Medians,35
7,311 CRIS - City Vehicle Report,35
7,Park Maintenance - Building Electrical Issues,33
7,SBO - Street Resurfacing,33
7,WPD - Standing Water,31
7,Drainage - Miscellaneous,31
7,Parking Ticket Complaint,30
7,Animal Protection - Coyote Complaints,30
7,School Zone - New/Review/Changes,28
7,Bridge Repair,28
7,Park Maintenance - Cemeteries,27
7,SBO - Alley & Unpaved Street Maintenance,27
7,Flood Report,25
7,Austin Code - Construction Rest Break Complaint,24
7,Guardrail Repair,24
7,ATD - Bicycle &amp; Pedestrian Issues,24
7,Animal Roadside Sales,23
7,Animal Protection - Animal In Vehicle,23
7,Animal Protection - Dog Restraint Issues,23
7,WPD - Lost Item in Storm Drainage System,23
7,AW - Water Theft Report,23
7,Austin Code - Construction Ordinance SR,22
7,ATD - School Zone Sign Maintenance,22
7,ATD - Pay-by-Phone App,22
7,ARR - Pet Search,22
7,Basic Needs - Appointment,21
7,Code Compliance - Short Term Rental (STR) Appointment,19
7,WPD - Ditch/Driveway Pipe Services,18
7,APH - Environmental Health Services - County,17
7,WPD - Watershed Grow Zone Issues,17
7,Animal Protection - Animal Trapped in Storm Drain,16
7,AE - Electric Vehicle Station Issues,16
7,ZZ Mowing City Parks,16
7,SBO - Curb/Gutter Repair,16
7,Vendor Permit - ROW,15
7,ARR - On Call Brush,13
7,AE - Key Accounts,12
7,DSD - Short Term Rental Complaint,12
7,Parking Permit- ROW,10
7,Corridor Program - Corridor Feedback,9
7,Barricade Request,9
7,Corridor Program Office - Corridor Feedback,9
7,HPD - Neighborhood Home Programs,9
7,SBO - Guardrail New/Repair,8
7,Ordinance Single-Use Carryout Bags,8
7,WPD - Flooding Past,7
7,Town Lake Debris Issues,7
7,Emergency Road Closure Report,7
7,AFD - Wildfire Education,7
7,ATD - Special Event,7
7,PW - School Issues - Crossing Guards,7
7,PARD - Commercial Use of Parkland,6
7,EV PIP Residential Rebate,6
7,Dangerous Animal - Except Dogs,6
7,ARR Dumpster,6
7,ERM - Harmful Algae,6
7,HSEM - Heat Advisory,6
7,Ordinance Universal Recycling,6
7,PARD - Aquatic Program Inquiries,6
7,Construction Ordinance SR,5
7,ACD - Billboard Complaint,5
7,PW - School Zone - New/Review/Changes,5
7,WPD - Erosion,5
7,EV PIE Station Issues,5
7,Residential Parking Permit Enforcement,5
7,Obstruction - Urban Forestry,5
7,CPIO - Community Voices,5
7,WPD - Lady Bird Lake Debris Issues,4
7,Animal Protection - Dangerous Dog Complaint,4
7,Valet Permit - ROW,4
7,ARR - Household Hazardous Waste,4
7,ACD - Construction Rest Break Complaint,3
7,ZZ Creek &amp; Pond Vegetation Control,3
7,Guardrail - New,3
7,SBO - Utility Cut Repair,3
7,ATD - School Zone Beacon - Maintenance,3
7,Animal Protection - Animal Roadside Sales,3
7,Flooding - Storms During Business Hours,3
7,Zzz_Speed Limit - Changes/Signs,2
7,Fence/Wall Repair,2
7,Utility Coordination - ROW,2
7,SBO - Roadway Spillage,2
7,ATD - Traffic Signal Maintenance,2
7,Park Maintenance - Building A/C &amp; Heating Issues,2
7,APH - Health Equity Line,1
7,ZZ - Tree Issue ROW,1
7,Newspaper Rack- ROW,1
7,ZZ Creek & Pond Vegetation Control,1
7,Filming Permit - ROW,1
7,zz - Coyote Compliants,1
7,SBO - Bridge Repair,1
7,Basic Needs - Information Referral,1
7,ACD - Private Hauler License Violation,1
7,APD - Non Emergency Hands Free Violation,1
8,Austin Code - Request Code Officer,19356
8,Traffic Signal - Maintenance,9045
8,Loose Dog,5672
8,ARR Missed Recycling,5053
8,Animal Control - Assistance Request,4543
8,Injured / Sick Animal,4259
8,ARR - Garbage,4030
8,ARR Dead Animal Collection,4005
8,Street Light Issue- Address,3817
8,Park Maintenance - Grounds,3458
8,Water Waste Report,3219
8,ARR Missed Yard Trimmings/Compost,2993
8,ATD - Shared Micromobility,2611
8,ATD - Parking Violation Enforcement,2546
8,Tree Issue ROW,2476
8,ACD - Request Code Officer,2324
8,ARR - Recycling,2217
8,AW - Water Conservation Violation,2112
8,ARR - Compost,2061
8,Pothole Repair,2059
8,Debris in Street,2041
8,Code Compliance,1988
8,APD - Vehicle Abatement Report,1956
8,ARR Brush and Bulk,1879
8,APD - Non Emergency Collision,1694
8,Austin Code - Short Term Rental Complaint SR,1573
8,Sign - Traffic Sign Maintenance,1495
8,APD - Non Emergency Noise/Alarm,1462
8,Obstruction in ROW,1452
8,Traffic Signal - Dig Tess Request,1428
8,Parking Violation Enforcement,1344
8,Animal - Proper Care,1321
8,Wildlife Exposure,1310
8,Tree Issue ROW/Emergency (PW),1299
8,Public Health - Graffiti Abatement,1277
8,Loud Commercial Music,1248
8,Shared Micromobility,1232
8,Sign - New,1171
8,Lane/Road Closure Notification,1104
8,Found Animal - Pick Up,1103
8,Parking Machine Issue,1080
8,Sidewalk Repair,1074
8,Graffiti Abatement,1071
8,Animal Bite,1040
8,AE Street Light Issue - Address,1040
8,DSD - Follow-Up,1037
8,ARR - Dead Animal Collection,1034
8,Found Animal Report - Keep,921
8,311 CC - Other,798
8,Sign - Traffic Sign Emergency,790
8,ATD - Lane/Road Closure Notification,789
8,Pavement Failure,764
8,ARR Missed Yard Trimmings /Organics,740
8,Concerns in the ROW,708
8,Austin Code - Coronavirus,694
8,Animal Protection - Loose Dog,689
8,ATD - Concerns in Right of Way,660
8,ATD - Traffic Sign Maintenance,638
8,Traffic Signal - New/Change,627
8,School Zone Flasher - Timing/Maintenance,606
8,Public Health - Environmental Services - City,592
8,Channels/Creeks/Drainage Easement,591
8,Road Markings/Striping - Maintenance,591
8,Creek & Pond Vegetation Control,586
8,Pet Resource Center - Assistance Request,583
8,AW - Water Waste Report,575
8,Animal Protection - Injured/Sick Animal,564
8,View Obstruction at Intersection,544
8,ARR - Bulk,499
8,Bicycle Issues,495
8,Tree Issue ROW/Maintenance (PW),494
8,Park Maintenance - Grounds Plumbing Issues,488
8,ARR - General,474
8,Park Maintenance - Pool Issues,472
8,PWD - Tree Issue Right of Way,469
8,ARR Street Sweeping,463
8,APH - Graffiti Abatement - Public Property,452
8,Animal Services - Contact Request,437
8,Loose Animal Not Dog,418
8,Dangerous/Vicious Dog Investigation,409
8,Loud Music,406
8,Community Connections - Coronavirus,401
8,Sign - Parking Sign Maintenance,400
8,Traffic Engineering - General,397
8,Sign - Street Name,381
8,DSD - Environmental Complaint,370
8,DSD - Outdoor Commercial Venue Music Complaint,352
8,Animal In Vehicle,346
8,Alley & Unpaved Street Maintenance,336
8,WPD - Channels/Creek/Drainage Issues,336
8,Construction Items in ROW,328
8,ATD - Parking Sign Maintenance,323
8,Austin Code - Signs/Billboards,322
8,DSD - Request Code Officer,312
8,Animal Protection - Assistance Request,307
8,Flooding  Current (Non-Emergency),304
8,Lost Item in Storm Drainage System,265
8,Mowing Medians,265
8,ARR - Brush,265
8,Coyote Complaints,253
8,Sidewalk/Curb Ramp/Route - NEW,252
8,Road Markings/Striping - New,247
8,SBO - Pothole Repair,238
8,Traffic Calming,235
8,ATD - Construction Items in Right of Way,232
8,Aquatics Hotline Inquiry,232
8,Construction items in ROW,227
8,Tree Issue ROW/Maintenance (PARD),222
8,Park Maintenance - Grounds Electrical Issues,214
8,ATD - Road Markings/Striping - Maintenance,211
8,Animal Protection - Found Animal Assistance,208
8,Animal Protection - Animal Proper Care,204
8,ATD - Street Name Sign Maintenance,203
8,APH - Environmental Health Services - City,202
8,SBO - Debris in Street,199
8,Street Lights New,199
8,Street Light Issue- Multiple poles/multiple streets,198
8,ARR - Street Sweeping,193
8,Mowing City Parks,189
8,Bat Complaint,189
8,ATD - Speed Management,186
8,SBO - Obstruction in Right of Way,169
8,Street Resurfacing,167
8,ATD - Traffic Sign New,167
8,ARR - On Call Bulk,157
8,Tree Issue ROW/Emergency (PARD),151
8,Animal Protection - Animal Bite,140
8,Park Maintenance - Building Plumbing Issues,132
8,Curb/Gutter Repair,128
8,Speed Management,126
8,Animal Protection - Wildlife Exposure,125
8,School Zone - New/Review/Changes,124
8,SBO - Sidewalk Repair,123
8,ATD - Dig Tess Request,123
8,APD - Vehicle Abatement Callback Request,122
8,ARR - Spillage Trash/Fluids,121
8,Standing Water,120
8,Pet Resource Center - Found Pet Report,108
8,AE Street Light Issue - No Address,104
8,Animal Trapped in Storm Drain,103
8,WPD - Flooding Current,99
8,Sign - School Zone Sign Maintenance,96
8,Austin Code - Short Term Rental (STR) Appointment,95
8,ATD - Booting Complaint,86
8,Construction Items- ROW,86
8,Code Compliance - Signs/Billboards,82
8,Flooding - Past,82
8,ATD - Parking Machine Issue,81
8,Water Theft Report,80
8,ATD - School Zone Beacon - Maintenance,79
8,ATD - Traffic Sign Emergency,79
8,ACD - Short Term Rental Complaint,77
8,SBO - Street and Bridge Miscellaneous,74
8,ATD - Road Markings/Striping - New,72
8,Speed Limit - Changes/Signs,71
8,Short Term Rental Complaint SR,70
8,Animal Protection - Vicious Dog Complaint,69
8,Flooding Current (Non-Emergency),68
8,Ditch/Driveway Pipe Services,67
8,TARA - Telecommunication Complaint,65
8,Park Maintenance - Building A/C & Heating Issues,63
8,School Issues - Crossing Guards,63
8,ARR - Property Damage Report,62
8,SBO - Pavement Failure,61
8,PARD - Aquatic Inquiries/Issues,60
8,WPD - Drainage Pond Maintenance,57
8,WPD - Standing Water,57
8,Guardrail New/Repair,56
8,ACD - Case Updates/Code Connect Messages,54
8,ATD - Traffic Signal - New/Modification,53
8,Neighborhood Home Programs,51
8,Animal Protection - Loose Animal Not Dog,49
8,Parking Ticket Complaint,48
8,Bridge Repair,48
8,Street Resurfacing Inquiry,48
8,Park Maintenance - Building Issues,46
8,ARR - Special Services,44
8,Loose Animal (not dog),43
8,311 CRIS - City Vehicle Report,43
8,AE - Electric Vehicle Station Issues,40
8,Construction/Permitting- ROW,40
8,PARD - Aquatic Maintenance,39
8,ATD - Bicycle &amp; Pedestrian Issues,39
8,Roadway Spillage,36
8,Barricade Request,36
8,SBO - Utility Cut Repair,35
8,Public Health - Environmental Services - County,34
8,APH - Community Connections Coronavirus,33
8,Code Compliance - Short Term Rental (STR) Appointment,31
8,SBO - Street Resurfacing,31
8,WPD - Lost Item in Storm Drainage System,30
8,ATD - School Zone Sign Maintenance,30
8,ATD - View Obstruction and Fencing at Intersection,30
8,Drainage - Miscellaneous,29
8,Storm Drain Pipe Services,29
8,SBO - New Sidewalk/Curb Ramp/Route,29
8,Animal Protection - Coyote Complaints,29
8,Austin Code - Construction Rest Break Complaint,28
8,Guardrail Repair,27
8,ARR - Pet Search,27
8,WPD - Storm Drain Services,27
8,PW - School Zone - New/Review/Changes,26
8,Park Maintenance - Cemeteries,26
8,PW - School Issues - Crossing Guards,24
8,AFD - Wildfire Concern / Presentation,23
8,Animal Roadside Sales,23
8,Park Maintenance - Building Electrical Issues,23
8,Animal Protection - Animal In Vehicle,21
8,WPD - Flooding Past,20
8,ARR - On Call Brush,20
8,SBO - Alley & Unpaved Street Maintenance,19
8,SBO - Curb/Gutter Repair,19
8,SBO - Bridge Repair,19
8,WPD - Watershed Grow Zone Issues,18
8,WPD - Ditch/Driveway Pipe Services,16
8,Flood Report,14
8,Corridor Program Office - Corridor Feedback,14
8,ATD - Pay-by-Phone App,13
8,AW - Water Theft Report,13
8,Parking Permit- ROW,13
8,Basic Needs - Appointment,13
8,Animal Protection - Dog Restraint Issues,13
8,Residential Parking Permit Enforcement,13
8,Austin Code - Construction Ordinance SR,13
8,AFD - Wildfire Education,12
8,Animal Protection - Animal Trapped in Storm Drain,12
8,PWD - Mowing Medians,12
8,Town Lake Debris Issues,11
8,WPD - Lady Bird Lake Debris Issues,10
8,Ordinance Single-Use Carryout Bags,10
8,Dockless Mobility,10
8,Ordinance Universal Recycling,10
8,WPD - Erosion,9
8,ZZ Mowing City Parks,9
8,HPD - Neighborhood Home Programs,9
8,CPIO - Community Engagement Project Feedback,9
8,SBO - Guardrail New/Repair,8
8,CPIO - Community Voices,8
8,Emergency Road Closure Report,8
8,DSD - Short Term Rental Complaint,8
8,Vendor Permit - ROW,8
8,PARD - Commercial Use of Parkland,7
8,Dangerous Animal - Except Dogs,6
8,ARR - Household Hazardous Waste,6
8,ACD - Construction Rest Break Complaint,6
8,Obstruction - Urban Forestry,6
8,APH - Environmental Health Services - County,6
8,ATD - Traffic Signal Maintenance,6
8,ATD - Special Event,6
8,HSEM - Heat Advisory,6
8,APH - Health Equity Line,6
8,ZZ Park Maintenance - Pool Issues,5
8,ARR Dumpster,5
8,ACD - Billboard Complaint,5
8,Fence/Wall Repair,5
8,EV PIE Station Issues,5
8,Zz_Traffic Engineering - General,4
8,LeadSmart Program,4
8,Filming Permit - ROW,4
8,AE - Key Accounts,4
8,PARD - Aquatic Program Inquiries,3
8,ERM - Harmful Algae,3
8,Animal Protection - Animal Roadside Sales,3
8,Corridor Program - Corridor Feedback,3
8,Zzz_Speed Limit - Changes/Signs,3
8,Guardrail - New,2
8,ZZ Corridor Program - Corridor Feedback,2
8,EV PIP Residential Rebate,2
8,Utility Coordination - ROW,2
8,Construction Ordinance SR,2
8,APD - Non Emergency Hands Free Violation,1
8,Flooding - Storms After Business Hours,1
8,ZZ Creek & Pond Vegetation Control,1
8,Park Maintenance - Building A/C &amp; Heating Issues,1
8,ZZ Creek &amp; Pond Vegetation Control,1
8,SBO - Roadway Spillage,1
9,Austin Code - Request Code Officer,19196
9,Traffic Signal - Maintenance,9335
9,Loose Dog,6355
9,ARR Missed Recycling,4824
9,Animal Control - Assistance Request,4297
9,Street Light Issue- Address,4203
9,ARR Dead Animal Collection,4112
9,Injured / Sick Animal,3815
9,ARR - Garbage,3654
9,Park Maintenance - Grounds,3648
9,ARR Missed Yard Trimmings/Compost,3284
9,ATD - Parking Violation Enforcement,3070
9,ATD - Shared Micromobility,2570
9,Tree Issue ROW,2211
9,ARR - Compost,2150
9,APD - Non Emergency Noise/Alarm,2016
9,Water Waste Report,1944
9,Pothole Repair,1922
9,ARR - Recycling,1911
9,ACD - Request Code Officer,1900
9,APD - Vehicle Abatement Report,1851
9,Debris in Street,1805
9,Code Compliance,1781
9,Loud Commercial Music,1697
9,APD - Non Emergency Collision,1676
9,ARR Brush and Bulk,1421
9,Shared Micromobility,1416
9,Public Health - Graffiti Abatement,1399
9,Obstruction in ROW,1385
9,Parking Violation Enforcement,1339
9,Sign - Traffic Sign Maintenance,1236
9,Traffic Signal - Dig Tess Request,1229
9,AW - Water Conservation Violation,1211
9,AE Street Light Issue - Address,1177
9,Sign - New,1164
9,Sidewalk Repair,1147
9,Animal - Proper Care,1124
9,Animal Bite,1083
9,Austin Code - Short Term Rental Complaint SR,1074
9,Wildlife Exposure,1053
9,Lane/Road Closure Notification,1036
9,Parking Machine Issue,1004
9,ARR - Dead Animal Collection,989
9,ATD - Traffic Sign Maintenance,980
9,Graffiti Abatement,956
9,Found Animal - Pick Up,930
9,311 CC - Other,879
9,Found Animal Report - Keep,854
9,Animal Protection - Loose Dog,835
9,Concerns in the ROW,774
9,DSD - Follow-Up,747
9,ARR Missed Yard Trimmings /Organics,743
9,Pavement Failure,735
9,Traffic Signal - New/Change,714
9,ATD - Concerns in Right of Way,677
9,Sign - Traffic Sign Emergency,673
9,Austin Code - Coronavirus,648
9,View Obstruction at Intersection,641
9,AW - Water Waste Report,607
9,Channels/Creeks/Drainage Easement,603
9,Animal Protection - Injured/Sick Animal,575
9,Public Health - Environmental Services - City,572
9,ATD - Lane/Road Closure Notification,567
9,Mowing Medians,511
9,Traffic Engineering - General,504
9,Pet Resource Center - Assistance Request,497
9,ARR - General,480
9,Creek & Pond Vegetation Control,478
9,Loud Music,475
9,APH - Graffiti Abatement - Public Property,471
9,School Zone Flasher - Timing/Maintenance,467
9,Tree Issue ROW/Maintenance (PW),453
9,DSD - Outdoor Commercial Venue Music Complaint,445
9,Dangerous/Vicious Dog Investigation,440
9,Road Markings/Striping - Maintenance,436
9,Loose Animal Not Dog,424
9,WPD - Channels/Creek/Drainage Issues,417
9,Bicycle Issues,416
9,ARR Street Sweeping,415
9,Sign - Street Name,414
9,PWD - Tree Issue Right of Way,398
9,Austin Code - Signs/Billboards,398
9,Animal Services - Contact Request,373
9,ATD - Parking Sign Maintenance,359
9,Coyote Complaints,348
9,Tree Issue ROW/Emergency (PW),346
9,Park Maintenance - Grounds Plumbing Issues,339
9,DSD - Environmental Complaint,332
9,ARR - Bulk,330
9,Alley & Unpaved Street Maintenance,314
9,Construction Items in ROW,308
9,Sign - Parking Sign Maintenance,304
9,Mowing City Parks,297
9,Park Maintenance - Grounds Electrical Issues,293
9,Tree Issue ROW/Maintenance (PARD),281
9,Animal Protection - Found Animal Assistance,279
9,Animal In Vehicle,267
9,Lost Item in Storm Drainage System,264
9,Community Connections - Coronavirus,258
9,Animal Protection - Assistance Request,256
9,SBO - Pothole Repair,251
9,Traffic Calming,249
9,ATD - Construction Items in Right of Way,246
9,Street Light Issue- Multiple poles/multiple streets,236
9,Street Lights New,229
9,ARR - Brush,229
9,Sidewalk/Curb Ramp/Route - NEW,222
9,Road Markings/Striping - New,219
9,Park Maintenance - Pool Issues,205
9,Construction items in ROW,203
9,Tree Issue ROW/Emergency (PARD),198
9,SBO - Debris in Street,190
9,ATD - Traffic Sign New,186
9,ATD - Road Markings/Striping - Maintenance,182
