month,complaint_description,total_requests
1,APH - Environmental Health Services - County,6
1,EV PIE Station Issues,6
1,SBO - Bridge Repair,6
1,Valet Permit - ROW,6
1,AFD - Wildfire Education,5
1,Flood Report,4
1,Fence Repair - MOPAC,4
1,Filming Permit - ROW,4
1,PW - School Issues - Crossing Guards,4
1,ARR - Household Hazardous Waste,4
1,Guardrail - New,3
1,EV PIP Residential Rebate,3
1,PARD - Aquatic Maintenance,3
1,APD - Non Emergency Hands Free Violation,3
1,CPIO - Community Engagement Project Feedback,3
1,Newspaper Rack- ROW,3
1,Barricade Request,3
1,Zz_ATD - Construction Items in Right of Way,3
1,AFD - Fireworks Complaint,2
1,ZZ Creek & Pond Vegetation Control,2
1,LeadSmart Program,2
1,DSD - Private Hauler License Violation,2
1,APH - Health Equity Line,1
1,ERM - Harmful Algae,1
1,ACD - Construction Rest Break Complaint,1
1,Animal Protection - Animal Roadside Sales,1
1,Construction Ordinance SR,1
1,Emergency Vehicle Preemption Device,1
1,ZZ Mowing Medians,1
1,ZZ Creek &amp; Pond Vegetation Control,1
1,Obstruction - Urban Forestry,1
1,DSD - Construction Rest Break Complaint,1
2,ARR - Storm Debris Collection,39180
2,Austin Code - Request Code Officer,14400
2,Traffic Signal - Maintenance,7293
2,Loose Dog,6726
2,Animal Control - Assistance Request,3998
2,ARR Missed Recycling,3633
2,Street Light Issue- Address,3530
2,ARR Dead Animal Collection,3210
2,Park Maintenance - Grounds,3073
2,Tree Issue ROW,3008
2,Injured / Sick Animal,2996
2,Pothole Repair,2754
2,ATD - Parking Violation Enforcement,2409
2,ARR - Garbage,2292
2,311 CC - Other,1916
2,ARR - Compost,1663
2,Animal - Proper Care,1656
2,Debris in Street,1641
2,ARR Missed Yard Trimmings/Compost,1562
2,Loud Commercial Music,1477
2,Public Health - Graffiti Abatement,1475
2,APD - Non Emergency Noise/Alarm,1346
2,Traffic Signal - Dig Tess Request,1332
2,ARR Brush and Bulk,1273
2,APD - Vehicle Abatement Report,1195
2,Loud Music,1164
2,Graffiti Abatement,1142
2,ARR - Recycling,1084
2,Sign - Traffic Sign Maintenance,1069
2,Parking Violation Enforcement,1052
2,APD - Non Emergency Collision,999
2,Code Compliance,990
2,Lane/Road Closure Notification,987
2,Sign - New,953
2,Animal Bite,947
2,ATD - Shared Micromobility,905
2,ARR Missed Yard Trimmings /Organics,890
2,Found Animal - Pick Up,877
2,Parking Machine Issue,868
2,Wildlife Exposure,866
2,Sidewalk Repair,819
2,AE Street Light Issue - Address,813
2,AW - Water Waste Report,792
2,Austin Code - Short Term Rental Complaint SR,779
2,Found Animal Report - Keep,747
2,Community Connections - Coronavirus,706
2,Austin Code - Signs/Billboards,649
2,Obstruction in ROW,646
2,Concerns in the ROW,630
2,ARR - Dead Animal Collection,612
2,DSD - Request Code Officer,598
2,Shared Micromobility,597
2,ATD - Concerns in Right of Way,560
2,Pavement Failure,556
2,Traffic Signal - New/Change,539
2,Water Waste Report,539
2,Sign - Traffic Sign Emergency,510
2,Animal Services - Contact Request,496
2,DSD - Follow-Up,471
2,Channels/Creeks/Drainage Easement,468
2,Dangerous/Vicious Dog Investigation,443
2,ARR Street Sweeping,410
2,ARR - General,402
2,Dockless Mobility,397
2,Coyote Complaints,397
2,ATD - Traffic Sign Maintenance,386
2,Public Health - Environmental Services - City,361
2,Park Maintenance - Grounds Plumbing Issues,361
2,APH - Graffiti Abatement - Public Property,359
2,ATD - Parking Sign Maintenance,357
2,WPD - Channels/Creek/Drainage Issues,346
2,Flooding  Current (Non-Emergency),331
2,Pet Resource Center - Assistance Request,331
2,Animal Protection - Loose Dog,327
2,Traffic Engineering - General,318
2,Loose Animal Not Dog,317
2,ATD - Traffic Signal - Maintenance,309
2,ARR - Brush,307
2,Road Markings/Striping - Maintenance,305
2,DSD - Environmental Complaint,297
2,Sign - Street Name,282
2,Construction Items in ROW,277
2,Alley & Unpaved Street Maintenance,265
2,Bicycle Issues,263
2,Animal Protection - Found Animal Assistance,252
